SITC Revision 2 Product Code,SITC Revision 2 Product Description,BEC Product Code,BEC Product Description
27893,Natural steatite(incl.nat.st.roughly work.)talc,21,Primary
27894,Crude natural borates and concentrates thereof,21,Primary
27895,Siliceous fossil meals & similar siliceous earths,21,Primary
27896,"Bitumen and asphalt,natural;bituminous shale",21,Primary
27899,Mineral substances n.e.s.,21,Primary
2814,"Roasted iron pyrites,whether or not agglomerated",21,Primary
2815,"Iron ore and concentrates,not agglomerated",21,Primary
2816,"Iron ore agglomerates (sinters,pellets,briquettes)",21,Primary
28201,Waste of pig or cast iron,21,Primary
28202,Waste of alloy steel,21,Primary
28209,Waste of other iron or steel,21,Primary
2860,Ores and concentrates of uranium and thorium,21,Primary
28711,Copper ores and concentrates,21,Primary
28721,Nickel ores and concentrates,21,Primary
28731,Aluminium ores and concentrates,21,Primary
2874,Lead ores and concentrates,21,Primary
2875,Zinc ores and concentrates,21,Primary
2876,Tin ores and concentrates,21,Primary
2877,Manganese ores and concentrates,21,Primary
28791,Chromium ores and concentrates,21,Primary
